"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","PEG","P/S","P/B","P/Free Cash Flow","Dividend","Dividend Yield","EPS (ttm)","EPS growth this year","EPS growth past 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Shares Outstanding","Shares Float","Float Short","Return on Equity","Current Ratio","Gross Margin","Operating Margin","Profit Margin","Performance (Half Year)","Performance (Year)","Performance (YTD)","52-Week High","Price","Change"
1305,"EVER","EverQuote, Inc.","Communication Services","Internet Content & Information","USA",509.99,,,1.22,4.83,,,,-0.79,-63.00%,-59.80%,27.80%,-4.10%,-11.90%,417.90,32.01,17.85,8.25%,-24.30%,1.80,94.20%,-5.90%,-5.80%,42.81%,-1.64%,9.77%,-14.21%,16.18,-1.52%
1306,"EVG","Eaton Vance Short Duration Diversified Income Fund","Financial","Closed-End Fund - Debt","USA",143.75,9.39,,13.01,1.02,,1.14,10.60%,1.14,,,,-2.30%,,11.05,13.42,13.42,0.10%,,,,,,-4.80%,-16.39%,5.10%,-16.53%,10.71,-0.37%
1307,"EVH","Evolent Health, Inc.","Healthcare","Health Information Services","USA",3225.72,,,2.65,3.56,1075.24,,,-0.05,90.90%,37.00%,29.00%,58.50%,114.10%,1217.90,95.29,93.07,7.92%,-1.90%,1.00,26.10%,0.30%,-1.10%,-10.17%,35.65%,13.82%,-19.66%,31.96,-3.82%
1308,"EVN","Eaton Vance Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",424.44,15.74,,14.09,0.88,,0.49,4.60%,0.68,,,,-8.40%,,30.13,39.67,39.67,0.11%,,,,,,-10.83%,-15.95%,8.41%,-17.12%,10.70,-0.47%
1309,"EVOJ","Evo Acquisition Corp.","Financial","Shell Companies","USA",156.51,32.64,,,1.30,,,,0.31,,,,,-11.80%,,15.63,12.48,0.02%,4.00%,0.20,,,,2.45%,3.73%,-6.61%,-12.95%,10.02,-0.10%
1310,"EVOP","EVO Payments, Inc.","Technology","Software - Infrastructure","USA",1762.41,2604.62,162.08,3.29,,14.35,,,0.01,86.60%,-15.40%,3.40%,2.70%,-91.70%,536.40,48.15,47.39,8.56%,-0.10%,1.30,83.60%,15.80%,0.10%,1.26%,41.67%,0.06%,-0.35%,33.86,-0.09%
1311,"EVRG","Evergy, Inc.","Utilities","Utilities - Regulated Electric","USA",14070.56,17.79,7.32,2.47,1.47,,2.45,3.97%,3.46,41.00%,9.60%,16.90%,18.10%,-4.90%,5701.60,229.90,229.03,0.81%,8.50%,0.50,,22.90%,14.00%,-9.67%,-7.14%,-2.05%,-15.71%,61.64,-2.53%
1312,"EVRI","Everi Holdings Inc.","Consumer Cyclical","Gambling","USA",1673.67,10.25,0.51,2.21,7.71,9.76,,,1.83,259.90%,19.20%,-5.10%,21.40%,358.20%,757.50,90.01,86.92,2.68%,90.60%,1.20,79.60%,27.70%,24.10%,-5.11%,-6.81%,30.59%,-22.66%,18.74,2.01%
1313,"EVT","Eaton Vance Tax-Advantaged Dividend Income Fund","Financial","Closed-End Fund - Equity","USA",1817.46,2.63,,25.40,1.03,,1.79,7.26%,9.38,,,,1.40%,,71.56,73.85,73.85,0.02%,,,,,,-4.46%,-13.59%,7.94%,-17.02%,24.61,-0.24%
1314,"EVTC","EVERTEC, Inc.","Technology","Software - Infrastructure","USA",2425.14,10.32,,3.96,5.49,14.39,0.20,0.54%,3.62,54.70%,17.00%,8.70%,-0.10%,324.20%,611.90,66.40,64.88,0.97%,52.40%,2.20,54.40%,49.40%,41.10%,-5.75%,-15.00%,15.35%,-15.57%,37.35,-2.12%
1315,"EW","Edwards Lifesciences Corporation","Healthcare","Medical Devices","USA",50816.68,35.35,3.27,9.47,8.19,48.70,,,2.32,82.80%,22.30%,12.00%,0.70%,2.20%,5363.80,619.80,612.90,2.27%,24.50%,3.80,78.90%,31.20%,27.20%,-21.68%,-27.22%,10.07%,-37.36%,82.12,-2.83%
1316,"EWA","iShares MSCI Australia ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.39,5.68%,,,,,,,,,,,,,,,,8.83%,5.37%,10.35%,-9.68%,24.53,-1.64%
1317,"EWBC","East West Bancorp, Inc.","Financial","Banks - Diversified","USA",10868.10,9.90,1.24,4.68,1.95,,1.92,2.45%,7.92,53.60%,15.40%,7.30%,51.30%,32.00%,2321.20,140.92,139.79,1.58%,16.50%,,,72.70%,40.50%,13.53%,-8.96%,19.07%,-16.09%,78.47,-0.54%
1318,"EWC","iShares MSCI Canada ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.77,2.16%,,,,,,,,,,,,,,,,1.66%,-8.55%,8.52%,-13.61%,35.52,-0.59%
1319,"EWCO","Invesco S&P 500 Equal Weight Communication Services ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.36,1.23%,,,,,,,,,,,,,,,,1.37%,-16.90%,17.36%,-19.11%,29.49,-1.85%
1320,"EWCZ","European Wax Center, Inc.","Consumer Defensive","Household & Personal Products","USA",1184.79,299.84,,5.96,10.84,25.37,,,0.06,84.10%,,,12.20%,138.50%,198.90,39.85,31.96,10.20%,2.70%,3.30,72.00%,17.20%,1.70%,-12.77%,-14.79%,54.14%,-38.59%,19.19,-1.64%
1321,"EWD","iShares MSCI Sweden ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.39,3.87%,,,,,,,,,,,,,,,,6.85%,-16.75%,11.44%,-17.31%,36.03,-1.88%
1322,"EWG","iShares MSCI Germany ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.80,2.82%,,,,,,,,,,,,,,,,18.96%,-12.18%,14.92%,-13.17%,28.42,-1.56%
1323,"EWH","iShares MSCI Hong Kong ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.62,2.84%,,,,,,,,,,,,,,,,3.85%,-8.47%,3.95%,-11.65%,21.84,-0.82%
1324,"EWI","iShares MSCI Italy ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.23,4.10%,,,,,,,,,,,,,,,,21.71%,-9.30%,11.54%,-9.98%,30.05,-1.89%
